id,count
774,125.0
775,127.0
781,137.0
784,324.0
794,17.0
795,278.0
796,86.0
802,199.0
803,241.0
805,40.0
806,252.0
807,92.0
809,20.0
810,188.0
812,222.0
814,135.0
818,290.0
819,115.0
825,137.0
836,121.0
839,92.0
847,290.0
848,241.0
851,229.0
852,122.0
853,49.0
857,133.0
858,40.0
859,252.0
861,8.0
867,66.0
870,252.0
871,213.0
872,348.0
874,431.0
881,258.0
886,111.0
890,137.0
895,167.0
899,80.0
900,252.0
901,278.0
902,213.0
903,49.0
913,226.0
918,150.0
923,5.0
924,45.0
926,34.0
927,19.0
930,193.0
934,44.0
937,138.0
939,109.0
941,103.0
942,431.0
946,252.0
950,95.0
953,66.0
959,165.0
961,27.0
962,103.0
964,134.0
969,233.0
971,112.0
976,19.0
978,315.0
980,252.0
981,120.0
990,425.0
993,17.0
996,17.0
998,335.0
999,152.0
1006,108.0
1008,11.0
1013,15.0
1015,92.0
1016,104.0
1022,252.0
1026,193.0
1028,304.0
1031,37.0
1034,137.0
1037,213.0
1040,137.0
1042,17.0
1046,17.0
1048,92.0
1049,109.0
1050,137.0
1051,237.0
1052,193.0
1055,241.0
1060,92.0
1064,15.0
1066,15.0
1071,92.0
1073,14.0
1089,272.0
1091,104.0
1092,100.0
1093,241.0
1096,252.0
1097,221.0
1098,17.0
1099,39.0
1102,115.0
1107,106.0
1109,19.0
1111,46.0
1112,108.0
1114,310.0
1116,280.0
1117,113.0
1118,26.0
1122,125.0
1124,152.0
1127,138.0
1133,158.0
1134,45.0
1135,5.0
1139,252.0
1143,137.0
1150,135.0
1151,108.0
1153,252.0
1155,34.0
1162,30.0
1163,228.0
1166,14.0
1171,68.0
1172,15.0
1173,226.0
1174,65.0
1177,79.0
1178,193.0
1184,222.0
1185,94.0
1186,132.0
1187,123.0
1188,278.0
1191,111.0
1207,105.0
1213,45.0
1215,92.0
1223,304.0
1227,111.0
1236,137.0
1237,137.0
1238,19.0
1241,29.0
1248,19.0
1250,46.0
1251,92.0
1253,135.0
1255,92.0
1257,172.0
1261,135.0
1262,398.0
1265,120.0
1273,163.0
1277,252.0
1278,111.0
1280,107.0
1284,193.0
1285,252.0
1288,34.0
1295,108.0
1297,398.0
1299,239.0
1304,126.0
1308,40.0
1310,92.0
1311,221.0
1314,106.0
1315,119.0
1318,42.0
1320,271.0
1321,335.0
1322,282.0
1330,91.0
1333,163.0
1334,158.0
1341,120.0
1344,102.0
1351,158.0
1354,74.0
1356,137.0
1363,108.0
1365,199.0
1369,221.0
1373,107.0
1375,94.0
1377,80.0
1379,125.0
1380,252.0
1381,74.0
1384,222.0
1390,309.0
1393,315.0
1395,137.0
1399,277.0
1400,116.0
1401,236.0
1404,221.0
1408,2.0
1409,5.0
1413,193.0
1416,331.0
1418,95.0
1423,106.0
1424,34.0
1425,17.0
1433,219.0
1434,143.0
1436,369.0
1442,252.0
1444,80.0
1445,124.0
1452,272.0
1455,163.0
1462,137.0
1467,37.0
1472,22.0
1475,241.0
1493,86.0
1501,228.0
1503,310.0
1504,148.0
1505,20.0
1511,256.0
1512,137.0
1513,93.0
1514,34.0
1528,188.0
1533,309.0
1534,30.0
1536,134.0
1537,117.0
1539,305.0
1550,199.0
1552,214.0
1554,193.0
1555,431.0
1556,74.0
1559,5.0
1563,158.0
1566,229.0
1567,193.0
1568,30.0
1571,221.0
1572,19.0
1574,137.0
1577,20.0
1583,88.0
1585,31.0
1586,193.0
1587,222.0
1596,173.0
1602,7.0
1604,17.0
1605,33.0
1610,252.0
1611,95.0
1616,46.0
1617,92.0
1618,18.0
1622,33.0
1623,33.0
1628,252.0
1631,11.0
1632,284.0
1633,227.0
1634,293.0
1636,158.0
1637,92.0
1643,236.0
1644,92.0
1646,103.0
1648,214.0
1651,33.0
1656,24.0
1658,165.0
1659,22.0
1665,191.0
1666,165.0
1670,31.0
1674,5.0
1679,188.0
1680,304.0
1683,342.0
1686,46.0
1691,95.0
1693,33.0
1696,46.0
1697,74.0
1703,109.0
1706,30.0
1709,107.0
1710,86.0
1712,215.0
1713,173.0
1718,398.0
1719,152.0
1722,252.0
1723,173.0
1724,252.0
1728,15.0
1730,34.0
1732,19.0
1737,28.0
1745,100.0
1747,20.0
1748,2.0
1755,93.0
1759,20.0
1761,252.0
1764,274.0
1765,173.0
1766,98.0
1768,68.0
1770,30.0
1771,126.0
1774,87.0
1785,92.0
1788,229.0
1792,18.0
1794,227.0
1797,124.0
1798,14.0
1799,215.0
1802,95.0
1806,70.0
1808,103.0
1810,222.0
1818,86.0
1819,431.0
1820,278.0
1822,227.0
1826,158.0
1827,127.0
1835,24.0
1841,111.0
1842,42.0
1843,24.0
1846,53.0
1849,226.0
1850,111.0
1851,241.0
1857,137.0
1858,175.0
1860,87.0
1861,193.0
1864,135.0
1869,331.0
1871,137.0
1872,14.0
1875,8.0
1878,309.0
1879,205.0
1885,94.0
1888,22.0
1889,46.0
1890,95.0
1896,109.0
1897,246.0
1898,151.0
1900,68.0
1905,5.0
1908,135.0
1909,90.0
1913,137.0
1918,79.0
1922,310.0
1923,151.0
1925,252.0
1926,339.0
1927,331.0
1930,193.0
1935,17.0
1939,79.0
1942,92.0
1943,60.0
1948,176.0
1949,252.0
1951,119.0
1953,108.0
1959,132.0
1963,27.0
1967,124.0
1973,252.0
1975,25.0
1976,71.0
1990,111.0
1993,75.0
1997,189.0
1999,151.0
2001,317.0
2004,100.0
2010,66.0
2013,91.0
2017,278.0
2021,110.0
2023,180.0
2026,135.0
2037,7.0
2039,267.0
2041,15.0
2046,33.0
2050,23.0
2060,158.0
2067,92.0
2069,173.0
2072,252.0
2074,132.0
2079,93.0
2083,25.0
2085,222.0
2087,11.0
2093,135.0
2094,15.0
2097,7.0
2103,95.0
2104,137.0
2107,126.0
2108,5.0
2110,86.0
2115,127.0
2117,34.0
2125,331.0
2127,214.0
2133,20.0
2134,431.0
2135,150.0
2141,213.0
2143,43.0
2145,75.0
2146,31.0
2147,316.0
2148,137.0
2149,137.0
2165,132.0
2166,213.0
2177,241.0
